,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
0,4,0.2,8,0.2,1.711293066,1.7212497
1,4,0.3,8,0.2,1.243708134,1.248576
2,4,0.4,8,0.2,1.320665342,1.3193333
3,4,0.5,8,0.2,1.415225517,1.4207896
4,4,0.6,8,0.2,1.446997125,1.4531809
5,4,0.7,8,0.2,1.484504646,1.4951354
6,22,0.2,8,0.2,1.709821073,1.7082518
7,22,0.3,8,0.2,1.254045214,1.2564342
8,22,0.4,8,0.2,1.331405069,1.3300878
9,22,0.5,8,0.2,1.394390741,1.3971484
10,22,0.6,8,0.2,1.390455831,1.3945
11,22,0.7,8,0.2,1.396029397,1.4016773
12,40,0.2,8,0.2,1.709829826,1.7083108
13,40,0.3,8,0.2,1.254096765,1.2562562
14,40,0.4,8,0.2,1.331392031,1.3293118
15,40,0.5,8,0.2,1.394396783,1.3983968
16,40,0.6,8,0.2,1.39044735,1.3948808
17,40,0.7,8,0.2,1.396040327,1.3999869
18,4,0.2,14,0.2,1.360376631,1.3949718
19,4,0.3,14,0.2,1.517919815,1.5258592
20,4,0.4,14,0.2,1.683875413,1.6819775
21,4,0.5,14,0.2,1.755696742,1.7507993
22,4,0.6,14,0.2,1.743327049,1.7611227
23,4,0.7,14,0.2,1.811470595,1.8337812
24,22,0.2,14,0.2,1.36285806,1.3893557
25,22,0.3,14,0.2,1.531516415,1.5317172
26,22,0.4,14,0.2,1.670239048,1.6645492
27,22,0.5,14,0.2,1.67598692,1.6685777
28,22,0.6,14,0.2,1.607750029,1.6024921
29,22,0.7,14,0.2,1.620285153,1.616339
30,40,0.2,14,0.2,1.362849321,1.3789648
31,40,0.3,14,0.2,1.531428811,1.5255908
32,40,0.4,14,0.2,1.670251243,1.6647711
33,40,0.5,14,0.2,1.676007794,1.6693324
34,40,0.6,14,0.2,1.607732866,1.6035646
35,40,0.7,14,0.2,1.620249265,1.614959
36,4,0.2,20,0.2,2.275020752,1.8576205
37,4,0.3,20,0.2,1.855068105,1.852184
38,4,0.4,20,0.2,1.898798517,1.892869
39,4,0.5,20,0.2,1.955427069,1.9356534
40,4,0.6,20,0.2,2.039658685,2.031684
41,4,0.7,20,0.2,1.99864197,2.0008597
42,22,0.2,20,0.2,2.274693433,1.7793169
43,22,0.3,20,0.2,1.860279425,1.8544056
44,22,0.4,20,0.2,1.84657166,1.8498093
45,22,0.5,20,0.2,1.78170867,1.7779655
46,22,0.6,20,0.2,1.744458067,1.7463197
47,22,0.7,20,0.2,1.720413505,1.7085383
48,40,0.2,20,0.2,1.672836985,1.7104069
49,40,0.3,20,0.2,1.860283787,1.8541744
50,40,0.4,20,0.2,1.846581335,1.850113
51,40,0.5,20,0.2,1.781681175,1.7790382
52,40,0.6,20,0.2,1.74444448,1.7464839
53,40,0.7,20,0.2,1.720746389,1.7102721
54,4,0.2,26,0.2,1.874994522,1.8852086
55,4,0.3,26,0.2,2.120554143,2.1132967
56,4,0.4,26,0.2,2.074602895,2.061686
57,4,0.5,26,0.2,2.176942937,2.1406946
58,4,0.6,26,0.2,2.190010583,2.183073
59,4,0.7,26,0.2,2.109265797,2.11099
60,22,0.2,26,0.2,1.881263655,1.8656336
61,22,0.3,26,0.2,2.11378207,2.094249
62,22,0.4,26,0.2,1.970925089,1.9605882
63,22,0.5,26,0.2,1.910575013,1.8940418
64,22,0.6,26,0.2,1.815539307,1.8085191
65,22,0.7,26,0.2,1.754165933,1.7541094
66,40,0.2,26,0.2,1.881277946,1.8705285
67,40,0.3,26,0.2,2.113817031,2.0989597
68,40,0.4,26,0.2,1.970868431,1.9605316
69,40,0.5,26,0.2,1.9104651,1.8940796
70,40,0.6,26,0.2,1.815427643,1.8082576
71,40,0.7,26,0.2,1.753869022,1.7550596
72,4,0.2,32,0.2,2.146666944,2.139428
73,4,0.3,32,0.2,2.307450691,2.2891223
74,4,0.4,32,0.2,2.262867182,2.2327645
75,4,0.5,32,0.2,2.313671568,2.2828438
76,4,0.6,32,0.2,2.340023718,2.3368351
77,4,0.7,32,0.2,2.240590177,2.2574441
78,22,0.2,32,0.2,2.150740834,2.1398048
79,22,0.3,32,0.2,2.285501588,2.2523432
80,22,0.4,32,0.2,2.085191648,2.0748541
81,22,0.5,32,0.2,1.952917415,1.9432617
82,22,0.6,32,0.2,1.893012927,1.8776007
83,22,0.7,32,0.2,1.827369961,1.8181118
84,40,0.2,32,0.2,2.150757268,2.1328
85,40,0.3,32,0.2,2.285460424,2.2699687
86,40,0.4,32,0.2,2.085008265,2.085568
87,40,0.5,32,0.2,1.952588656,1.9441149
88,40,0.6,32,0.2,1.892651685,1.8777462
89,40,0.7,32,0.2,1.825892642,1.8182571
90,4,0.2,8,0.4,0.612397679,0.62687016
91,4,0.3,8,0.4,1.082726416,1.0819077
92,4,0.4,8,0.4,1.219666576,1.2242068
93,4,0.5,8,0.4,1.370883045,1.3758684
94,4,0.6,8,0.4,1.425503741,1.4229263
95,4,0.7,8,0.4,1.503786187,1.5097389
96,22,0.2,8,0.4,0.611264253,0.6209448
97,22,0.3,8,0.4,1.08013425,1.0808657
98,22,0.4,8,0.4,1.213200769,1.2173524
99,22,0.5,8,0.4,1.343162614,1.343479
100,22,0.6,8,0.4,1.357058837,1.3558767
101,22,0.7,8,0.4,1.375039798,1.3635769
102,40,0.2,8,0.4,0.611285736,0.6277851
103,40,0.3,8,0.4,1.080150815,1.0798236
104,40,0.4,8,0.4,1.213216994,1.2160081
105,40,0.5,8,0.4,1.343237101,1.3351301
106,40,0.6,8,0.4,1.35705979,1.3592514
107,40,0.7,8,0.4,1.375075247,1.3637598
108,4,0.2,14,0.4,1.219415734,1.2312064
109,4,0.3,14,0.4,1.553172269,1.5426977
110,4,0.4,14,0.4,1.712397343,1.7092344
111,4,0.5,14,0.4,1.752241791,1.747044
112,4,0.6,14,0.4,1.728364755,1.7280294
113,4,0.7,14,0.4,1.789593528,1.8009526
114,22,0.2,14,0.4,1.217005679,1.2217274
115,22,0.3,14,0.4,1.551174704,1.5416598
116,22,0.4,14,0.4,1.701868119,1.6953441
117,22,0.5,14,0.4,1.698774563,1.6942021
118,22,0.6,14,0.4,1.610178456,1.6058456
119,22,0.7,14,0.4,1.569300248,1.5730648
120,40,0.2,14,0.4,1.217022412,1.2093874
121,40,0.3,14,0.4,1.551276037,1.5423379
122,40,0.4,14,0.4,1.701661119,1.6992483
123,40,0.5,14,0.4,1.698787537,1.693759
124,40,0.6,14,0.4,1.610155051,1.6050059
125,40,0.7,14,0.4,1.569266435,1.5687072
126,4,0.2,20,0.4,1.653980025,1.6789259
127,4,0.3,20,0.4,2.010113699,2.0025957
128,4,0.4,20,0.4,2.03816731,2.0382545
129,4,0.5,20,0.4,2.049813295,2.0309322
130,4,0.6,20,0.4,2.041470406,2.0248923
131,4,0.7,20,0.4,2.04726426,2.04285
132,22,0.2,20,0.4,1.652005322,1.6659535
133,22,0.3,20,0.4,2.010316654,2.0014908
134,22,0.4,20,0.4,2.016739383,2.0055506
135,22,0.5,20,0.4,1.95616529,1.94271
136,22,0.6,20,0.4,1.830996721,1.8133026
137,22,0.7,20,0.4,1.710927018,1.7101315
138,40,0.2,20,0.4,1.651988315,1.651293
139,40,0.3,20,0.4,2.010365113,2.0024529
140,40,0.4,20,0.4,2.016689184,2.009455
141,40,0.5,20,0.4,1.956081469,1.9458287
142,40,0.6,20,0.4,1.8308665,1.8179779
143,40,0.7,20,0.4,1.710702016,1.7103288
144,4,0.2,26,0.4,2.066534483,2.0665503
145,4,0.3,26,0.4,2.351156397,2.33084
146,4,0.4,26,0.4,2.313917566,2.3060386
147,4,0.5,26,0.4,2.287246359,2.2515006
148,4,0.6,26,0.4,2.240333112,2.217851
149,4,0.7,26,0.4,2.312805539,2.3038504
150,22,0.2,26,0.4,2.065707405,2.0609462
151,22,0.3,26,0.4,2.265931639,2.3078475
152,22,0.4,26,0.4,2.275208637,2.2567747
153,22,0.5,26,0.4,2.129769782,2.1053464
154,22,0.6,26,0.4,1.917942816,1.9199046
155,22,0.7,26,0.4,1.849342542,1.8393794
156,40,0.2,26,0.4,2.065719079,2.0639918
157,40,0.3,26,0.4,2.265895906,2.3088021
158,40,0.4,26,0.4,2.275078294,2.2647536
159,40,0.5,26,0.4,2.129354125,2.113488
160,40,0.6,26,0.4,1.917193051,1.9185425
161,40,0.7,26,0.4,1.848197557,1.8368853
162,4,0.2,32,0.4,2.50847065,2.491542
163,4,0.3,32,0.4,2.616890047,2.608691
164,4,0.4,32,0.4,2.452953365,2.4273345
165,4,0.5,32,0.4,2.44302239,2.3991704
166,4,0.6,32,0.4,2.467596316,2.427988
167,4,0.7,32,0.4,2.558775762,2.5416262
168,22,0.2,32,0.4,2.500928422,2.486204
169,22,0.3,32,0.4,2.605034402,2.580581
170,22,0.4,32,0.4,2.383932634,2.3713262
171,22,0.5,32,0.4,2.148177805,2.1723716
172,22,0.6,32,0.4,2.148177805,2.0413249
173,22,0.7,32,0.4,1.962774452,1.9540098
174,40,0.2,32,0.4,2.500959598,2.4838424
175,40,0.3,32,0.4,2.604879077,2.5930982
176,40,0.4,32,0.4,2.455393409,2.3872144
177,40,0.5,32,0.4,2.206547506,2.1782496
178,40,0.6,32,0.4,2.03911812,2.03741
179,40,0.7,32,0.4,1.959628138,1.9500952
180,4,0.2,8,0.6,1.959628138,2.1587353
181,4,0.3,8,0.6,0.674643214,0.67636925
182,4,0.4,8,0.6,1.083406609,1.0809624
183,4,0.5,8,0.6,1.276158164,1.27593
184,4,0.6,8,0.6,1.369796853,1.3780904
185,4,0.7,8,0.6,1.426561314,1.4322634
186,22,0.2,8,0.6,0.399905039,0.40444106
187,22,0.3,8,0.6,0.672375467,0.67265964
188,22,0.4,8,0.6,1.071954789,1.06902
189,22,0.5,8,0.6,1.232925541,1.2227696
190,22,0.6,8,0.6,1.289758868,1.2913221
191,22,0.7,8,0.6,1.283681862,1.283617
192,40,0.2,8,0.6,0.399903257,0.4055966
193,40,0.3,8,0.6,0.672392322,0.66936487
194,40,0.4,8,0.6,1.072058585,1.0623217
195,40,0.5,8,0.6,1.225664501,1.2143042
196,40,0.6,8,0.6,1.289787341,1.2916327
197,40,0.7,8,0.6,1.283701085,1.2814617
198,4,0.2,14,0.6,1.00682418,1.0239224
199,4,0.3,14,0.6,1.426627317,1.4202827
200,4,0.4,14,0.6,1.60856201,1.6024882
201,4,0.5,14,0.6,1.665580817,1.6551225
202,4,0.6,14,0.6,1.696776701,1.6950201
203,4,0.7,14,0.6,1.742525375,1.7394499
204,22,0.2,14,0.6,1.076545391,1.0415001
205,22,0.3,14,0.6,1.417994474,1.411713
206,22,0.4,14,0.6,1.584003187,1.5870945
207,22,0.5,14,0.6,1.608864539,1.5991498
208,22,0.6,14,0.6,1.574269424,1.5732895
209,22,0.7,14,0.6,1.521543054,1.5198613
210,40,0.2,14,0.6,1.004523517,1.0197816
211,40,0.3,14,0.6,1.418054942,1.4040532
212,40,0.4,14,0.6,1.584010164,1.5774018
213,40,0.5,14,0.6,1.60886975,1.5974039
214,40,0.6,14,0.6,1.574218402,1.5698076
215,40,0.7,14,0.6,1.521454197,1.5204513
216,4,0.2,20,0.6,1.52287823,1.5405523
217,4,0.3,20,0.6,1.859110753,1.8513561
218,4,0.4,20,0.6,1.941083513,1.9338316
219,4,0.5,20,0.6,1.931358697,1.929575
220,4,0.6,20,0.6,1.884634722,1.8768817
221,4,0.7,20,0.6,1.916845711,1.9278078
222,22,0.2,20,0.6,1.519415406,1.5265261
223,22,0.3,20,0.6,1.849480726,1.8438468
224,22,0.4,20,0.6,1.912719258,1.9028871
225,22,0.5,20,0.6,1.849888047,1.847886
226,22,0.6,20,0.6,1.71499921,1.7108647
227,22,0.7,20,0.6,1.622836948,1.620649
228,40,0.2,20,0.6,1.519403216,1.5089229
229,40,0.3,20,0.6,1.849487603,1.8375655
230,40,0.4,20,0.6,1.912691262,1.9019113
231,40,0.5,20,0.6,1.849834807,1.8474429
232,40,0.6,20,0.6,1.714678527,1.7147701
233,40,0.7,20,0.6,1.622442878,1.6199841
234,4,0.2,26,0.6,1.927857224,1.924073
235,4,0.3,26,0.6,2.288028714,2.2852018
236,4,0.4,26,0.6,2.268907406,2.2668014
237,4,0.5,26,0.6,2.15894672,2.1434846
238,4,0.6,26,0.6,2.104941683,2.0757027
239,4,0.7,26,0.6,2.156975641,2.1527514
240,22,0.2,26,0.6,1.922344677,1.9272931
241,22,0.3,26,0.6,2.275461517,2.266792
242,22,0.4,26,0.6,2.227279875,2.2126977
243,22,0.5,26,0.6,2.040956452,2.0379026
244,22,0.6,26,0.6,1.857521577,1.8325518
245,22,0.7,26,0.6,1.743669619,1.7349555
246,40,0.2,26,0.6,1.922335336,1.930513
247,40,0.3,26,0.6,2.275392705,2.2652304
248,40,0.4,26,0.6,2.226986851,2.2101533
249,40,0.5,26,0.6,2.040344294,2.0380743
250,40,0.6,26,0.6,1.856328249,1.8341213
251,40,0.7,26,0.6,1.741813206,1.731378
252,4,0.2,32,0.6,2.313393922,2.3175044
253,4,0.3,32,0.6,2.630455397,2.6176994
254,4,0.4,32,0.6,2.432961743,2.422256
255,4,0.5,32,0.6,2.370094452,2.3225427
256,4,0.6,32,0.6,2.258797067,2.2579157
257,4,0.7,32,0.6,2.362370378,2.321394
258,22,0.2,32,0.6,2.309387486,2.3088694
259,22,0.3,32,0.6,2.607698434,2.5970845
260,22,0.4,32,0.6,2.378064702,2.3638246
261,22,0.5,32,0.6,2.201564753,2.1559255
262,22,0.6,32,0.6,1.938742604,1.9445933
263,22,0.7,32,0.6,1.851604933,1.838455
264,40,0.2,32,0.6,2.309362762,2.3038566
265,40,0.3,32,0.6,2.612589745,2.5983825
266,40,0.4,32,0.6,2.377300772,2.367914
267,40,0.5,32,0.6,2.199746316,2.156256
268,40,0.6,32,0.6,1.935642092,1.9404707
269,40,0.7,32,0.6,1.846629249,1.8343322
270,4,0.2,8,0.8,0.005825141,0.021008614
271,4,0.3,8,0.8,0.573869636,0.5807102
272,4,0.4,8,0.8,0.696771311,0.7005566
273,4,0.5,8,0.8,1.051013745,1.0524758
274,4,0.6,8,0.8,1.192442182,1.1968359
275,4,0.7,8,0.8,1.294363007,1.2985728
276,22,0.2,8,0.8,0.005834145,0.037067253
277,22,0.3,8,0.8,0.571375121,0.5828682
278,22,0.4,8,0.8,0.686143389,0.6956869
279,22,0.5,8,0.8,1.012902128,1.0054533
280,22,0.6,8,0.8,1.106567647,1.1090356
281,22,0.7,8,0.8,1.139963185,1.1365353
282,40,0.2,8,0.8,0.005834149,0.034456898
283,40,0.3,8,0.8,0.571392469,0.58643496
284,40,0.4,8,0.8,0.686212573,0.6909929
285,40,0.5,8,0.8,0.975905765,0.99139804
286,40,0.6,8,0.8,1.106392887,1.1063148
287,40,0.7,8,0.8,1.139946231,1.1328145
288,4,0.2,14,0.8,0.663520411,0.67244756
289,4,0.3,14,0.8,1.189274502,1.1884861
290,4,0.4,14,0.8,1.400013945,1.4007226
291,4,0.5,14,0.8,1.492631279,1.4865072
292,4,0.6,14,0.8,1.55018121,1.548923
293,4,0.7,14,0.8,1.600486168,1.5978779
294,22,0.2,14,0.8,0.662417689,0.6684721
